Yarn ID,Discontinued,Grams,Machine Washable,Average Rating,Yardage,Yarn Weight
5628,False,150.0,True,3.87,333.0,Sport
68383,False,100.0,True,4.79,490.0,Light Fingering
113857,False,114.0,True,4.77,125.0,Bulky
66363,False,113.0,False,4.62,450.0,Fingering
41218,False,100.0,True,4.51,440.0,Fingering
148787,False,100.0,False,4.5,246.0,DK
48999,False,115.0,True,4.6,420.0,Fingering
82030,False,115.0,False,4.75,330.0,DK
136062,False,100.0,True,4.94,437.0,Fingering
154391,False,115.0,True,4.69,400.0,Fingering
116317,False,100.0,True,4.77,400.0,Fingering
38866,True,100.0,True,4.7,435.0,Fingering
45088,True,100.0,True,4.56,437.0,Fingering
62890,False,100.0,False,4.79,440.0,Fingering
81123,False,75.0,False,4.52,127.0,Aran
127629,False,125.0,False,4.93,280.0,DK
142390,False,100.0,True,4.92,400.0,Fingering
151288,False,100.0,True,4.9,465.0,Light Fingering
130737,False,100.0,True,4.71,267.0,DK
120101,False,100.0,True,4.87,400.0,Fingering
150972,True,100.0,True,4.84,414.0,Fingering
29514,False,100.0,False,4.76,440.0,Fingering
29187,True,142.0,False,4.49,450.0,Fingering
114974,False,100.0,True,4.83,400.0,Fingering
155470,False,100.0,True,4.6,220.0,Worsted
52709,False,114.0,True,4.67,980.0,Lace
99106,False,100.0,True,4.82,190.0,Aran
85511,False,113.0,False,4.77,1250.0,Lace
8766,False,100.0,True,4.41,284.0,Sport
105075,True,85.0,False,4.48,405.0,Fingering
81031,False,100.0,True,4.84,220.0,Worsted
124991,False,115.0,True,4.92,443.0,Fingering
126658,False,100.0,False,4.85,437.0,Fingering
98852,False,113.0,False,4.83,370.0,Sport
58924,False,100.0,False,4.77,437.0,Fingering
67415,False,130.0,False,4.8,220.0,Worsted
19136,True,170.0,False,4.54,470.0,Sport
126180,False,100.0,True,4.8,463.0,Light Fingering
147228,False,100.0,False,4.94,195.0,Aran
108492,False,100.0,False,4.78,400.0,Fingering
70559,False,100.0,True,4.75,438.0,Fingering
163884,False,,False,4.8,420.0,Fingering
4584,False,100.0,True,4.29,360.0,Fingering
109327,False,114.0,True,4.45,755.0,Light Fingering
150904,False,115.0,True,4.86,437.0,Fingering
145439,False,100.0,True,4.85,247.0,DK
82183,False,50.0,False,4.86,459.0,Lace
112884,False,115.0,False,4.78,440.0,Fingering
130235,False,100.0,True,4.76,465.0,Light Fingering
39452,False,150.0,True,4.58,550.0,Fingering
73637,False,102.0,False,4.64,435.0,Fingering
326,False,454.0,False,4.58,1450.0,DK
146003,False,100.0,True,4.89,460.0,Fingering
105106,False,50.0,False,4.66,160.0,DK
115792,False,100.0,True,4.84,260.0,DK
7144,False,50.0,False,4.34,200.0,Fingering
41928,False,115.0,True,4.52,412.0,Light Fingering
120483,False,100.0,True,4.81,400.0,Fingering
88871,False,100.0,False,3.95,656.0,Lace
154580,False,100.0,True,4.9,400.0,Fingering
125061,False,100.0,True,4.76,450.0,Fingering
125830,False,100.0,True,4.94,438.0,Fingering
148834,False,100.0,True,4.88,460.0,Light Fingering
149105,False,100.0,False,4.78,262.0,DK
125731,False,150.0,True,4.87,555.0,Fingering
99024,True,100.0,False,4.86,438.0,Fingering
141156,False,25.0,True,4.69,107.0,Fingering
143167,False,115.0,True,4.66,400.0,Fingering
93321,False,100.0,False,4.59,437.0,Fingering
95924,False,100.0,True,4.72,463.0,Light Fingering
155995,False,113.0,True,4.73,475.0,Fingering
41003,True,100.0,False,3.96,191.0,Aran
159763,False,100.0,False,4.92,438.0,Fingering
98785,False,100.0,False,4.91,400.0,Fingering
91742,False,115.0,True,4.9,378.0,Fingering
146431,False,100.0,False,4.81,437.0,Sport
120771,False,100.0,True,4.94,231.0,DK
68428,False,100.0,True,4.75,440.0,Fingering
93066,False,100.0,True,4.53,459.0,Fingering
35265,True,227.0,True,4.47,1350.0,Lace
104597,False,100.0,False,4.71,437.0,Fingering
107708,False,127.0,True,4.55,405.0,Fingering
84090,False,114.0,True,4.36,500.0,Light Fingering
113501,False,113.0,True,4.84,434.0,Fingering
133444,False,100.0,False,4.79,437.0,Fingering
106252,False,100.0,False,4.92,383.0,Fingering
117616,False,100.0,False,4.85,516.0,Light Fingering
143009,False,100.0,True,4.9,463.0,Light Fingering
64696,False,100.0,False,4.74,435.0,Fingering
86763,False,112.0,True,4.81,565.0,Light Fingering
55919,False,100.0,True,4.83,220.0,Worsted
59435,False,114.0,False,4.82,1250.0,Lace
79507,False,100.0,True,4.85,400.0,Fingering
138544,False,100.0,False,4.86,465.0,Light Fingering
147353,False,100.0,False,4.83,437.0,Fingering
99758,True,100.0,True,4.87,463.0,Light Fingering
24112,False,113.0,False,4.85,188.0,Aran
90030,False,113.0,True,4.66,475.0,Fingering
142807,False,100.0,True,4.65,437.0,Fingering
113193,False,100.0,True,4.82,400.0,Fingering
130704,False,50.0,False,4.77,230.0,Fingering
88874,False,100.0,True,4.54,219.0,Worsted
46835,False,115.0,False,4.96,250.0,Sport
55915,False,100.0,True,4.78,463.0,Light Fingering
113156,False,100.0,False,4.69,400.0,Fingering
86793,False,50.0,False,4.81,400.0,Lace
154118,False,100.0,True,4.86,438.0,Fingering
308,False,100.0,False,4.31,225.0,Aran
157022,False,100.0,True,4.89,400.0,Fingering
94639,False,90.0,False,4.81,200.0,DK
136864,False,265.0,False,4.7,696.0,DK
79942,False,100.0,True,4.63,437.0,Fingering
73965,False,100.0,True,4.45,400.0,Fingering
40726,False,150.0,True,4.6,525.0,Fingering
135230,False,100.0,True,4.9,465.0,Fingering
126164,False,100.0,True,4.86,438.0,Fingering
6747,False,100.0,False,4.45,260.0,Aran
112225,False,100.0,False,4.77,465.0,Light Fingering
90028,False,100.0,True,4.87,400.0,Fingering
125005,True,100.0,True,4.75,463.0,Light Fingering
67791,True,115.0,True,4.74,440.0,Fingering
124021,False,100.0,False,4.7,394.0,Fingering
145717,False,100.0,False,4.92,275.0,DK
117293,False,100.0,False,4.8,400.0,Fingering
137287,False,105.0,True,4.86,250.0,DK
11884,False,100.0,True,4.42,400.0,Fingering
